trigger,Ko,Rej,Performability
470,0.0011785993718607570573519409716100296354841659012433860,0.0017278804780418733387534748278851160202006786934189482,2.6818116204434669532066494897289015971927635689E-9
475,0.0011822424571040734782055916899272453799858781584481485,0.0017141099846527034742683709721326170260188906840847413,2.6538880795768044611207955723828015350897966681E-9
480,0.00118583153118005106479644529754825282251181983640137996,0.00170056156249088361572657466812908913069211063705160436,2.62661753228756093100342515660849106910177532382E-9
485,0.001189367786377763170774196904396973477847260492617301371,0.001687229759404193356601366078407128852609729784080599187,2.599978280672485012928322116784601661990580020981E-9
490,0.0011928523801498131117483793989206334387967822528886385,0.0016741093048248626400147977516665772770431719479657693,2.5739495574526483184486500113472047198276830603E-9
495,0.0011962864363754521799164375244189971411047823479233903,0.0016611951020685612606158370723624783858080639289528763,2.5485114846995372079850174231869899308608366708E-9
500,0.0011996710465690299293574928601107383830542631308403761,0.0016484822210325121520029673750348526527480909056237420,2.5236450054410014025276535630520947961319735219E-9
505,0.00120300727103675384171345064140602572082343893432271091,0.00163596589126830330435807970924997037559378147828849079,2.49933185970908982505770486104440185656475820337E-9
510,0.0012062961399841467437327463259812498817757180946766082,0.0016236414954065625884246793981751339737734622711439272,2.4755545397796339343748970104314994670204764981E-9
515,0.0012095386545766216440058955997963564745491032960222406,0.0016115045629122134726626723948857135241258836044166008,2.4522962468153452366361916066433613525425575024E-9
520,0.00121273578795561706205971767917279072923210891419575750,0.00159955076415076555323347357592964507244804830800173008,2.42954086442606935902375693704636138266409181706E-9
525,0.0012158884862123202616610222872371332521397981186062851973,0.0015877759047471038186056407669779368420752722011158698285,2.4072729223460468589214620305258690832579885153860E-9
530,0.00121899766932101537094132696670660509620920324160340044,0.00157617592021980735396221212560248113677817120957681004,2.38547755686865111615071409852203454876880076809E-9
535,0.00122206423203416055735540089684398172672177591244695515,0.00156474687087503084528292548340282371486217176828723763,2.36414049182232048298722637744250885534798473758E-9
540,0.00122508904474083807738161676839466723207763095732753708,0.00155348493694503787316986490056966545585977002035734508,2.34324800695205670903263584931348335933276772106E-9
545,0.0012280729542903765240346756650270677266194240190060975,0.0015423864139575323943379394878528706981879581642870172,2.3227869112246313377115667995507853317460287477E-9
550,0.0012310167847827859283925080972920033494542656454424496,0.0015314477083228160892359541294189773506018102789274627,2.3027445119856951945728134536834792588587867535E-9
555,0.0012339213383276378147278174349480597803611146247765942,0.0015206653331266481514563934011400230080919294531514358,2.2831086084924644315579181082121883371074866604E-9
560,0.00123678739577261272356842872757885506799556687681331905,0.00151003590411742570513179722769764746616491106416051491,2.26386744909418595884551963296478030895348516798E-9
565,0.0012396157174034153676476823230296848117033079900559208,0.0014995561358771259965365276540229282906967625219329642,2.2450097217104510640137945518795723047988012493E-9
570,0.00124240704361616540986908041092351543262108042988858370,0.00148922283816600120913451175087458167975622467475036815,2.22652453644479661548328150788564224301335198802E-9
575,0.0012451620955635330189996639382020216702985369932550591,0.0014790329124317091664371470976603448654275558997598167,2.2084013946040510559174093601295732613278963322E-9
